Name,Description,Category,Priority,Due Date,Done,Recurrence
Review monthly budget,Check spending and adjust forecast,Finance,Low,05/02/2026,Yes,Daily
Code review session,Review team's open pull requests,Work,High,05/02/2026,Yes,
Follow up on vitamins,Chase outstanding response on vitamins,General,High,05/02/2026,No,
Reply to emails,Clear inbox and action pending messages,General,Medium,05/02/2026,No,
Yoga session 8 minutes,Follow YouTube yoga for flexibility,Health,Medium,05/02/2026,No,Weekly
New Year goals review,Check progress on annual objectives,Personal,Low,05/02/2026,No,Weekly
Security audit of API,Review for vulnerabilities and patch issues,Work,Low,05/02/2026,Yes,
Pay water bill,Monthly payment via online banking,Finance,Low,05/02/2026,Yes,
Follow up on headphones,Chase outstanding response on headphones,General,Low,05/02/2026,No,
Pay off credit card balance,Clear full balance before due date,Finance,Low,05/02/2026,No,
Print insurance certificate,Download and print required insurance certificate,General,Medium,05/02/2026,Yes,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,05/02/2026,Yes,Daily
Follow up on headphones,Chase outstanding response on headphones,General,Medium,05/02/2026,No,
Morning run 10km,Steady pace training run,Health,Medium,06/02/2026,No,Daily
Clean up desktop,Organise files and remove shortcuts,General,High,06/02/2026,No,Monthly
Meditation 5 minutes,Mindfulness session using app,Health,Medium,06/02/2026,No,
Compare prices for notebook,Find best deal before purchasing,Shopping,Medium,06/02/2026,No,
Sort digital photo library,Organise and label photos from 2025,Personal,High,06/02/2026,Yes,Weekly
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,06/02/2026,No,Monthly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Low,06/02/2026,Yes,Daily
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,06/02/2026,No,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,High,06/02/2026,Yes,Weekly
Book eye test appointment,Schedule overdue check with optician,Personal,Medium,06/02/2026,No,Daily
Write in journal,Reflect on the week and set intentions,Personal,Medium,06/02/2026,No,
Renew driving licence,Complete online renewal application,Personal,Medium,06/02/2026,Yes,Monthly
Restock desk lamp,Running low — order more desk lamp,Shopping,High,06/02/2026,Yes,
Research Python best practices,Read articles and save key notes,Personal,Medium,06/02/2026,Yes,
Doctor checkup,Annual physical examination,Health,High,07/02/2026,No,
Print insurance certificate,Download and print required insurance certificate,General,Medium,07/02/2026,No,
Hotfix deployment,Push emergency fix to production,Work,Medium,07/02/2026,Yes,Weekly
Book physio appointment,Address recurring shoulder tension,Health,Low,07/02/2026,No,
Follow up on coffee beans,Chase outstanding response on coffee beans,General,High,07/02/2026,Yes,
Gym workout — legs,Focus session on legs,Health,Medium,07/02/2026,No,
Research pension contributions,Review employer match options,Finance,Low,07/02/2026,No,
Gym workout — chest and triceps,Focus session on chest and triceps,Health,Medium,07/02/2026,Yes,Daily
Update passwords,Rotate credentials for key accounts,General,Medium,07/02/2026,Yes,Daily
Submit tax documents,Upload supporting documents to HMRC,Finance,Medium,07/02/2026,No,
Cancel unused subscription,Remove service no longer needed,Finance,High,07/02/2026,No,
Write technical spec for CSV export,Document architecture and implementation plan,Work,Medium,07/02/2026,Yes,
Yoga session 5 minutes,Follow YouTube yoga for flexibility,Health,Medium,07/02/2026,No,
Track water intake,Aim for 2.5L throughout the day,Health,Medium,08/02/2026,No,
Print invoice,Download and print required invoice,General,Low,08/02/2026,Yes,Monthly
Book physio appointment,Address recurring shoulder tension,Health,Medium,08/02/2026,No,Monthly
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,08/02/2026,No,
Security audit of notifications,Review for vulnerabilities and patch issues,Work,Medium,08/02/2026,Yes,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,08/02/2026,No,Monthly
Renew driving licence,Complete online renewal application,Personal,Medium,08/02/2026,No,Monthly
Yoga session 5 minutes,Follow YouTube yoga for flexibility,Health,Medium,08/02/2026,Yes,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,High,08/02/2026,No,
Print invoice,Download and print required invoice,General,High,08/02/2026,Yes,Daily
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,High,08/02/2026,No,
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,08/02/2026,No,Daily
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,Medium,08/02/2026,Yes,Daily
Pick up prescription,Collect medication from pharmacy,Shopping,Low,08/02/2026,Yes,
Gym workout — back and biceps,Focus session on back and biceps,Health,Medium,08/02/2026,No,Weekly
Track water intake,Aim for 2.5L throughout the day,Health,Low,08/02/2026,Yes,Monthly
Schedule monthly review,Block calendar time for retrospective,General,High,09/02/2026,Yes,Weekly
Return keyboard,Send back unwanted keyboard within return window,Shopping,Medium,09/02/2026,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,Medium,09/02/2026,No,Monthly
Order monitor stand online,Compare prices and place order for monitor stand,Shopping,High,09/02/2026,Yes,Weekly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,09/02/2026,No,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Low,09/02/2026,No,Daily
Compare insurance policies,Annual review of home and car cover,Finance,Low,09/02/2026,Yes,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,09/02/2026,No,
Deep clean bathroom,Full clean of the bathroom,Personal,Medium,09/02/2026,Yes,
Code review session,Review team's open pull requests,Work,High,09/02/2026,Yes,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,09/02/2026,No,Weekly
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,09/02/2026,No,
Compare prices for headphones,Find best deal before purchasing,Shopping,High,09/02/2026,No,
Refactor notifications module,Clean up legacy code and improve readability,Work,Medium,10/02/2026,No,Weekly
Pay water bill,Monthly payment via online banking,Finance,Medium,10/02/2026,No,
Research productivity systems,Read articles and save key notes,Personal,Low,10/02/2026,No,
Deep clean bathroom,Full clean of the bathroom,Personal,High,10/02/2026,Yes,Monthly
Yoga session 8 minutes,Follow YouTube yoga for flexibility,Health,Low,10/02/2026,Yes,
Clean up desktop,Organise files and remove shortcuts,General,High,10/02/2026,Yes,
Research pension contributions,Review employer match options,Finance,Medium,10/02/2026,No,
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,10/02/2026,No,
Check local news,Read area updates and community notices,General,Medium,10/02/2026,No,
Write in journal,Reflect on the week and set intentions,Personal,High,10/02/2026,No,Weekly
Follow up on vitamins,Chase outstanding response on vitamins,General,Medium,10/02/2026,Yes,Daily
Reply to emails,Clear inbox and action pending messages,General,Medium,10/02/2026,Yes,
Set up CI/CD pipeline,Automate build and deployment process,Work,Low,10/02/2026,No,
Set up standing order,Automate monthly savings transfer,Finance,High,11/02/2026,No,Monthly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,11/02/2026,Yes,Daily
Review monthly budget,Check spending and adjust forecast,Finance,Medium,11/02/2026,Yes,Daily
Doctor checkup,Annual physical examination,Health,Medium,11/02/2026,No,
Security audit of storage,Review for vulnerabilities and patch issues,Work,High,11/02/2026,No,
Print form,Download and print required form,General,Medium,11/02/2026,No,Weekly
Buy coffee beans,Purchase coffee beans from local store or online,Shopping,Low,11/02/2026,No,Monthly
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,High,11/02/2026,Yes,
Hotfix deployment,Push emergency fix to production,Work,Medium,11/02/2026,No,
Buy gift for the team,Find appropriate gift under budget,Shopping,Medium,11/02/2026,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,High,11/02/2026,Yes,Daily
Follow up on monitor stand,Chase outstanding response on monitor stand,General,High,11/02/2026,No,Weekly
Research Python best practices,Read articles and save key notes,Personal,Medium,11/02/2026,Yes,Weekly
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Medium,12/02/2026,Yes,
Grocery shop,Stock up on weekly essentials,Shopping,High,12/02/2026,No,
Update passwords,Rotate credentials for key accounts,General,Medium,12/02/2026,No,
Buy gift for Lena,Find appropriate gift under budget,Shopping,Medium,12/02/2026,Yes,
Compare prices for running shoes,Find best deal before purchasing,Shopping,Medium,12/02/2026,No,
Write technical spec for dark mode,Document architecture and implementation plan,Work,Medium,12/02/2026,No,Weekly
Order headphones online,Compare prices and place order for headphones,Shopping,Low,12/02/2026,Yes,Weekly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,12/02/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,12/02/2026,No,
Buy gift for Marco,Find appropriate gift under budget,Shopping,High,12/02/2026,No,Weekly
Schedule monthly review,Block calendar time for retrospective,General,Medium,12/02/2026,Yes,Monthly
Follow up on notebook,Chase outstanding response on notebook,General,Low,12/02/2026,Yes,
Sort digital photo library,Organise and label photos from 2024,Personal,Low,12/02/2026,Yes,Daily
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Low,12/02/2026,No,
Morning run 10km,Steady pace training run,Health,High,13/02/2026,No,
File expense report,Collect receipts and submit via portal,Finance,High,13/02/2026,Yes,
Write unit tests for settings,Increase test coverage for settings,Work,Medium,13/02/2026,Yes,Daily
Cancel unused subscription,Remove service no longer needed,Finance,High,13/02/2026,Yes,Daily
Fix CSS layout on checkout page,Resolve responsive design issues,Work,High,13/02/2026,No,
Track water intake,Aim for 2.5L throughout the day,Health,Medium,13/02/2026,No,
Deep clean bathroom,Full clean of the bathroom,Personal,Low,13/02/2026,No,
Grocery shop,Stock up on weekly essentials,Shopping,Medium,13/02/2026,No,Daily
Backup files to cloud,Sync important documents to cloud storage,General,Medium,13/02/2026,Yes,Weekly
Sort digital photo library,Organise and label photos from 2024,Personal,Medium,13/02/2026,No,
Follow up on vitamins,Chase outstanding response on vitamins,General,Medium,13/02/2026,Yes,
New Year goals review,Check progress on annual objectives,Personal,Medium,13/02/2026,No,Daily
Review monthly budget,Check spending and adjust forecast,Finance,Medium,13/02/2026,No,Monthly
Write technical spec for notifications,Document architecture and implementation plan,Work,High,14/02/2026,No,
Book eye test appointment,Schedule overdue check with optician,Personal,Medium,14/02/2026,No,
Write technical spec for notifications,Document architecture and implementation plan,Work,Medium,14/02/2026,No,Monthly
Follow up on coffee beans,Chase outstanding response on coffee beans,General,Low,14/02/2026,Yes,Daily
Order running shoes online,Compare prices and place order for running shoes,Shopping,High,14/02/2026,No,Weekly
Resolve merge conflict in settings,Fix conflicting changes in branch,Work,High,14/02/2026,Yes,
Follow up on notebook,Chase outstanding response on notebook,General,Medium,14/02/2026,Yes,Daily
Deploy production build,Push latest build to production environment,Work,Medium,14/02/2026,Yes,Weekly
Morning run 20km,Steady pace training run,Health,Low,14/02/2026,No,Daily
Backup files to cloud,Sync important documents to cloud storage,General,High,14/02/2026,Yes,Weekly
Plan birthday celebration for Sarah,"Organise venue, guests and cake",Personal,Low,14/02/2026,Yes,Weekly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,14/02/2026,No,
Yoga session 20 minutes,Follow YouTube yoga for flexibility,Health,Low,14/02/2026,No,Monthly
Book eye test appointment,Schedule overdue check with optician,Personal,Medium,14/02/2026,No,
Restock desk lamp,Running low — order more desk lamp,Shopping,Low,15/02/2026,No,
Hotfix deployment,Push emergency fix to production,Work,Medium,15/02/2026,No,
Compare prices for desk lamp,Find best deal before purchasing,Shopping,Medium,15/02/2026,No,Monthly
Renew driving licence,Complete online renewal application,Personal,Low,15/02/2026,No,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,High,15/02/2026,Yes,
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,15/02/2026,Yes,Monthly
Rest day — stretching only,Active recovery with light stretching,Health,High,15/02/2026,No,Monthly
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Low,15/02/2026,Yes,
Schedule monthly review,Block calendar time for retrospective,General,High,15/02/2026,No,
Return desk lamp,Send back unwanted desk lamp within return window,Shopping,High,15/02/2026,No,
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,15/02/2026,No,
Renew parking permit,Submit renewal before current one expires,General,Low,15/02/2026,No,
Update emergency contacts,Add new phone numbers and addresses,Personal,Low,15/02/2026,No,
Buy gift for dad,Find appropriate gift under budget,Shopping,Medium,15/02/2026,Yes,Weekly
Research pension contributions,Review employer match options,Finance,Medium,15/02/2026,Yes,Weekly
Return desk lamp,Send back unwanted desk lamp within return window,Shopping,Low,16/02/2026,No,
Fix critical bug in reports,Investigate and resolve the issue in reports,Work,Low,16/02/2026,Yes,
Morning run 30km,Steady pace training run,Health,Medium,16/02/2026,Yes,
Research pension contributions,Review employer match options,Finance,Medium,16/02/2026,Yes,Weekly
Deploy beta build,Push latest build to beta environment,Work,High,16/02/2026,Yes,
Follow up on notebook,Chase outstanding response on notebook,General,Medium,16/02/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,16/02/2026,No,
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,16/02/2026,No,
Buy gift for dad,Find appropriate gift under budget,Shopping,Medium,16/02/2026,No,Daily
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,16/02/2026,Yes,
Review monthly budget,Check spending and adjust forecast,Finance,Low,16/02/2026,No,Daily
Code review session,Review team's open pull requests,Work,Low,16/02/2026,Yes,
Hotfix deployment,Push emergency fix to production,Work,High,16/02/2026,No,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Low,17/02/2026,Yes,
Submit tax documents,Upload supporting documents to HMRC,Finance,Low,17/02/2026,Yes,
Review credit card statement,Check for any unusual charges,Finance,High,17/02/2026,Yes,
Pick up prescription,Collect medication from pharmacy,Shopping,High,17/02/2026,No,Monthly
Book eye test appointment,Schedule overdue check with optician,Personal,Low,17/02/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,High,17/02/2026,No,
Print insurance certificate,Download and print required insurance certificate,General,Medium,17/02/2026,No,Weekly
Review pull request #8,Code review for the latest changes,Work,Medium,17/02/2026,No,
Plan weekend trip,Research destinations and book accommodation,Personal,High,17/02/2026,No,Monthly
Cancel unused subscription,Remove service no longer needed,Finance,Medium,17/02/2026,Yes,Monthly
Research pension contributions,Review employer match options,Finance,Medium,17/02/2026,No,Monthly
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Low,17/02/2026,No,
Update emergency contacts,Add new phone numbers and addresses,Personal,High,17/02/2026,No,Weekly
Pay council tax bill,Monthly payment via online banking,Finance,Medium,18/02/2026,No,
Cancel unused subscription,Remove service no longer needed,Finance,High,18/02/2026,Yes,
Read chapter of The Pragmatic Programmer,Continue reading The Pragmatic Programmer,Personal,Medium,18/02/2026,Yes,Weekly
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,18/02/2026,Yes,
New Year goals review,Check progress on annual objectives,Personal,Low,18/02/2026,Yes,Weekly
Resolve merge conflict in API,Fix conflicting changes in branch,Work,Medium,18/02/2026,No,
Compare prices for desk lamp,Find best deal before purchasing,Shopping,Low,18/02/2026,Yes,
Book physio appointment,Address recurring shoulder tension,Health,Medium,18/02/2026,Yes,Monthly
Pay off credit card balance,Clear full balance before due date,Finance,Medium,18/02/2026,Yes,
Cancel unused subscription,Remove service no longer needed,Finance,High,18/02/2026,No,
Write technical spec for CSV export,Document architecture and implementation plan,Work,Medium,18/02/2026,No,Monthly
Weigh in and log progress,Record in health tracking app,Health,Medium,18/02/2026,Yes,
Clean up desktop,Organise files and remove shortcuts,General,Medium,18/02/2026,Yes,
Resolve merge conflict in checkout,Fix conflicting changes in branch,Work,Low,18/02/2026,No,
Research Python best practices,Read articles and save key notes,Personal,Low,18/02/2026,Yes,
Write unit tests for settings,Increase test coverage for settings,Work,Medium,18/02/2026,No,
Return keyboard,Send back unwanted keyboard within return window,Shopping,Medium,18/02/2026,No,
Client call preparation,Prepare slides and agenda for client meeting,Work,Medium,19/02/2026,Yes,
Buy monitor stand,Purchase monitor stand from local store or online,Shopping,High,19/02/2026,Yes,Monthly
Doctor checkup,Annual physical examination,Health,Medium,19/02/2026,No,
Backup files to cloud,Sync important documents to cloud storage,General,Low,19/02/2026,No,Weekly
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,19/02/2026,No,Daily
Write technical spec for notifications,Document architecture and implementation plan,Work,Medium,19/02/2026,Yes,
Pay electricity bill,Monthly payment via online banking,Finance,High,19/02/2026,Yes,
Deep clean kitchen,Full clean of the kitchen,Personal,High,19/02/2026,Yes,Daily
Follow up on headphones,Chase outstanding response on headphones,General,High,19/02/2026,No,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,19/02/2026,Yes,
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,19/02/2026,No,
File expense report,Collect receipts and submit via portal,Finance,Medium,19/02/2026,No,
Meal prep healthy lunches,Cook proteins and salads for the week,Health,Medium,19/02/2026,No,
Grocery shop,Stock up on weekly essentials,Shopping,Medium,19/02/2026,Yes,
Restock notebook,Running low — order more notebook,Shopping,Medium,20/02/2026,Yes,
Clean up desktop,Organise files and remove shortcuts,General,High,20/02/2026,Yes,
Sort digital photo library,Organise and label photos from 2024,Personal,Medium,20/02/2026,No,Daily
Renew parking permit,Submit renewal before current one expires,General,Medium,20/02/2026,No,Daily
Restock desk lamp,Running low — order more desk lamp,Shopping,High,20/02/2026,No,Weekly
Update emergency contacts,Add new phone numbers and addresses,Personal,High,20/02/2026,No,
Pay water bill,Monthly payment via online banking,Finance,Medium,20/02/2026,Yes,
Meditation 8 minutes,Mindfulness session using app,Health,High,20/02/2026,Yes,Monthly
Write unit tests for API,Increase test coverage for API,Work,Medium,20/02/2026,No,Weekly
Code review session,Review team's open pull requests,Work,High,20/02/2026,No,
New Year goals review,Check progress on annual objectives,Personal,High,20/02/2026,Yes,
Team standup preparation,Prepare blockers and progress updates,Work,Medium,20/02/2026,Yes,
Yoga session 5 minutes,Follow YouTube yoga for flexibility,Health,Low,21/02/2026,Yes,
Meditation 10 minutes,Mindfulness session using app,Health,Medium,21/02/2026,No,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Medium,21/02/2026,Yes,
Hotfix deployment,Push emergency fix to production,Work,High,21/02/2026,No,
Track water intake,Aim for 2.5L throughout the day,Health,High,21/02/2026,Yes,Weekly
Implement recurring tasks feature,Build and test the new functionality,Work,Medium,21/02/2026,No,Daily
Research pension contributions,Review employer match options,Finance,Medium,21/02/2026,No,Weekly
Performance review write-up,Document achievements and goals,Work,High,21/02/2026,Yes,Monthly
Backup files to cloud,Sync important documents to cloud storage,General,Medium,21/02/2026,No,Monthly
Pay off credit card balance,Clear full balance before due date,Finance,Medium,21/02/2026,Yes,Monthly
Morning run 20km,Steady pace training run,Health,Low,21/02/2026,No,Monthly
Security audit of API,Review for vulnerabilities and patch issues,Work,Low,21/02/2026,Yes,
Yoga session 20 minutes,Follow YouTube yoga for flexibility,Health,Medium,22/02/2026,Yes,
Call Marco,Catch up with Marco over the phone,Personal,Medium,22/02/2026,No,
Hotfix deployment,Push emergency fix to production,Work,Low,22/02/2026,No,
Reply to emails,Clear inbox and action pending messages,General,Low,22/02/2026,No,
Set up CI/CD pipeline,Automate build and deployment process,Work,Low,22/02/2026,Yes,
Write technical spec for search,Document architecture and implementation plan,Work,Low,22/02/2026,No,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,22/02/2026,No,
Schedule monthly review,Block calendar time for retrospective,General,High,22/02/2026,No,
Doctor checkup,Annual physical examination,Health,High,22/02/2026,Yes,
Print insurance certificate,Download and print required insurance certificate,General,Medium,22/02/2026,Yes,Monthly
Weigh in and log progress,Record in health tracking app,Health,Medium,22/02/2026,Yes,Weekly
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Low,22/02/2026,Yes,Daily
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,23/02/2026,Yes,
Submit tax documents,Upload supporting documents to HMRC,Finance,High,23/02/2026,Yes,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,23/02/2026,No,Monthly
Rest day — stretching only,Active recovery with light stretching,Health,Medium,23/02/2026,No,
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,23/02/2026,Yes,
Backup files to cloud,Sync important documents to cloud storage,General,High,23/02/2026,No,Monthly
Call Sarah,Catch up with Sarah over the phone,Personal,Medium,23/02/2026,Yes,
Update dependencies,Upgrade outdated packages to latest versions,Work,Medium,23/02/2026,No,
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,23/02/2026,No,
Meditation 15 minutes,Mindfulness session using app,Health,Medium,23/02/2026,No,
Meal prep healthy lunches,Cook proteins and salads for the week,Health,High,23/02/2026,Yes,
Print form,Download and print required form,General,Low,23/02/2026,Yes,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,High,23/02/2026,No,Daily
Client call preparation,Prepare slides and agenda for client meeting,Work,Medium,23/02/2026,Yes,Monthly
Return coffee beans,Send back unwanted coffee beans within return window,Shopping,High,24/02/2026,No,
Update passwords,Rotate credentials for key accounts,General,Medium,24/02/2026,No,
Book eye test appointment,Schedule overdue check with optician,Personal,Medium,24/02/2026,No,Weekly
Pick up prescription,Collect medication from pharmacy,Shopping,Low,24/02/2026,No,
Book physio appointment,Address recurring shoulder tension,Health,Low,24/02/2026,Yes,Weekly
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,Medium,24/02/2026,Yes,Monthly
Print form,Download and print required form,General,Medium,24/02/2026,No,
Backup files to cloud,Sync important documents to cloud storage,General,Low,24/02/2026,Yes,Weekly
Deep clean bathroom,Full clean of the bathroom,Personal,Low,24/02/2026,Yes,Weekly
Compare insurance policies,Annual review of home and car cover,Finance,Medium,24/02/2026,No,Weekly
Buy headphones,Purchase headphones from local store or online,Shopping,High,24/02/2026,Yes,
Backup files to cloud,Sync important documents to cloud storage,General,High,24/02/2026,No,Monthly
Buy gift for Alice,Find appropriate gift under budget,Shopping,High,24/02/2026,Yes,
Renew parking permit,Submit renewal before current one expires,General,Medium,24/02/2026,Yes,Monthly
Resolve merge conflict in reports,Fix conflicting changes in branch,Work,Medium,24/02/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,25/02/2026,No,
Book physio appointment,Address recurring shoulder tension,Health,High,25/02/2026,No,
Rest day — stretching only,Active recovery with light stretching,Health,High,25/02/2026,No,Weekly
Weigh in and log progress,Record in health tracking app,Health,Medium,25/02/2026,No,
Buy gift for the team,Find appropriate gift under budget,Shopping,High,25/02/2026,Yes,Monthly
Deep clean home office,Full clean of the home office,Personal,High,25/02/2026,Yes,Weekly
Blood pressure check,Visit pharmacy for quick reading,Health,High,25/02/2026,No,
Transfer savings,Move surplus to ISA or investment account,Finance,High,25/02/2026,No,
Pay water bill,Monthly payment via online banking,Finance,Medium,25/02/2026,No,
File expense report,Collect receipts and submit via portal,Finance,Medium,25/02/2026,Yes,
Weigh in and log progress,Record in health tracking app,Health,Low,25/02/2026,Yes,Daily
Sort digital photo library,Organise and label photos from 2024,Personal,Medium,25/02/2026,Yes,Daily
Review monthly budget,Check spending and adjust forecast,Finance,Low,25/02/2026,No,Weekly
Pick up prescription,Collect medication from pharmacy,Shopping,Low,26/02/2026,No,
Transfer savings,Move surplus to ISA or investment account,Finance,High,26/02/2026,No,
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,High,26/02/2026,No,Weekly
Print ticket,Download and print required ticket,General,Medium,26/02/2026,No,
Write in journal,Reflect on the week and set intentions,Personal,Medium,26/02/2026,Yes,Monthly
Renew parking permit,Submit renewal before current one expires,General,Low,26/02/2026,Yes,
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,Medium,26/02/2026,No,
Buy gift for the team,Find appropriate gift under budget,Shopping,High,26/02/2026,No,Daily
Compare insurance policies,Annual review of home and car cover,Finance,Low,26/02/2026,No,
Fix CSS layout on dashboard page,Resolve responsive design issues,Work,Low,26/02/2026,No,Monthly
Refactor API module,Clean up legacy code and improve readability,Work,High,26/02/2026,No,
Hotfix deployment,Push emergency fix to production,Work,Low,26/02/2026,Yes,
Check investment portfolio,Review ETF performance and rebalance,Finance,Low,27/02/2026,No,
Cancel unused subscription,Remove service no longer needed,Finance,Medium,27/02/2026,No,
Plan weekend trip,Research destinations and book accommodation,Personal,Medium,27/02/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,High,27/02/2026,No,Weekly
Renew parking permit,Submit renewal before current one expires,General,Medium,27/02/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,Low,27/02/2026,No,
Order notebook online,Compare prices and place order for notebook,Shopping,Medium,27/02/2026,No,Weekly
Deep clean living room,Full clean of the living room,Personal,High,27/02/2026,No,Weekly
Return vitamins,Send back unwanted vitamins within return window,Shopping,Medium,27/02/2026,No,
Set up standing order,Automate monthly savings transfer,Finance,Medium,27/02/2026,Yes,Weekly
Declutter wardrobe,Bag up old clothes for charity donation,Personal,High,27/02/2026,Yes,
Plan weekend trip,Research destinations and book accommodation,Personal,Low,27/02/2026,Yes,
Review pull request #30,Code review for the latest changes,Work,Medium,27/02/2026,No,
Renew driving licence,Complete online renewal application,Personal,Low,28/02/2026,Yes,
Research AI trends,Read articles and save key notes,Personal,Medium,28/02/2026,No,
Check investment portfolio,Review ETF performance and rebalance,Finance,Low,28/02/2026,No,
Plan birthday celebration for the team,"Organise venue, guests and cake",Personal,Medium,28/02/2026,No,
New Year goals review,Check progress on annual objectives,Personal,Low,28/02/2026,Yes,
Sort digital photo library,Organise and label photos from 2024,Personal,Medium,28/02/2026,Yes,Weekly
Research pension contributions,Review employer match options,Finance,Medium,28/02/2026,No,Daily
Implement search feature,Build and test the new functionality,Work,High,28/02/2026,Yes,Daily
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,28/02/2026,Yes,
Update passwords,Rotate credentials for key accounts,General,Low,28/02/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,28/02/2026,Yes,Weekly
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,28/02/2026,No,
Renew driving licence,Complete online renewal application,Personal,Medium,28/02/2026,Yes,Weekly
Client call preparation,Prepare slides and agenda for client meeting,Work,Low,28/02/2026,Yes,Weekly
Write in journal,Reflect on the week and set intentions,Personal,Medium,28/02/2026,Yes,
Performance review write-up,Document achievements and goals,Work,Medium,28/02/2026,No,Monthly
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Medium,28/02/2026,Yes,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,High,01/03/2026,Yes,
Book physio appointment,Address recurring shoulder tension,Health,Low,01/03/2026,Yes,
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,01/03/2026,Yes,Weekly
Renew parking permit,Submit renewal before current one expires,General,Low,01/03/2026,No,Daily
Grocery shop,Stock up on weekly essentials,Shopping,High,01/03/2026,Yes,
Read chapter of Deep Work,Continue reading Deep Work,Personal,Medium,01/03/2026,No,
Set up CI/CD pipeline,Automate build and deployment process,Work,High,01/03/2026,No,
Pick up prescription,Collect medication from pharmacy,Shopping,High,01/03/2026,Yes,
Grocery shop,Stock up on weekly essentials,Shopping,High,01/03/2026,Yes,
Submit tax documents,Upload supporting documents to HMRC,Finance,Low,01/03/2026,No,Monthly
Backup files to cloud,Sync important documents to cloud storage,General,Medium,01/03/2026,Yes,Monthly
Gym workout — back and biceps,Focus session on back and biceps,Health,Medium,01/03/2026,Yes,Monthly
Pick up prescription,Collect medication from pharmacy,Shopping,Low,01/03/2026,Yes,
Buy gift for Bob,Find appropriate gift under budget,Shopping,Medium,01/03/2026,Yes,
Yoga session 5 minutes,Follow YouTube yoga for flexibility,Health,High,02/03/2026,No,
Check local news,Read area updates and community notices,General,Medium,02/03/2026,Yes,Monthly
Research pension contributions,Review employer match options,Finance,Medium,02/03/2026,Yes,
Renew driving licence,Complete online renewal application,Personal,Medium,02/03/2026,Yes,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,02/03/2026,No,
